"tournament_name","goal_time","goals_per_period","percentage"
"1930 FIFA World Cup","0 - 15",12,17
"1930 FIFA World Cup","16 - 30",10,14
"1930 FIFA World Cup","31 - 45",10,14
"1930 FIFA World Cup","46 - 60",9,12
"1930 FIFA World Cup","61 - 75",17,24
"1930 FIFA World Cup","76 - 90",12,17
"1934 FIFA World Cup","0 - 15",8,11
"1934 FIFA World Cup","16 - 30",17,24
"1934 FIFA World Cup","31 - 45",8,11
"1934 FIFA World Cup","46 - 60",11,15
"1934 FIFA World Cup","61 - 75",14,20
"1934 FIFA World Cup","76 - 90",12,17
"1938 FIFA World Cup","0 - 15",11,13
"1938 FIFA World Cup","16 - 30",13,15
"1938 FIFA World Cup","31 - 45",16,19
"1938 FIFA World Cup","46 - 60",8,9
"1938 FIFA World Cup","61 - 75",12,14
"1938 FIFA World Cup","76 - 90",24,28
"1950 FIFA World Cup","0 - 15",9,10
"1950 FIFA World Cup","16 - 30",16,18
"1950 FIFA World Cup","31 - 45",16,18
"1950 FIFA World Cup","46 - 60",15,17
"1950 FIFA World Cup","61 - 75",13,14
"1950 FIFA World Cup","76 - 90",19,21
"1954 FIFA World Cup","0 - 15",20,14
"1954 FIFA World Cup","16 - 30",29,20
"1954 FIFA World Cup","31 - 45",14,10
"1954 FIFA World Cup","46 - 60",25,17
"1954 FIFA World Cup","61 - 75",20,14
"1954 FIFA World Cup","76 - 90",32,22
"1958 FIFA World Cup","0 - 15",16,12
"1958 FIFA World Cup","16 - 30",22,17
"1958 FIFA World Cup","31 - 45",18,14
"1958 FIFA World Cup","46 - 60",23,18
"1958 FIFA World Cup","61 - 75",23,18
"1958 FIFA World Cup","76 - 90",24,19
"1962 FIFA World Cup","0 - 15",16,17
"1962 FIFA World Cup","16 - 30",14,15
"1962 FIFA World Cup","31 - 45",9,10
"1962 FIFA World Cup","46 - 60",15,16
"1962 FIFA World Cup","61 - 75",17,19
"1962 FIFA World Cup","76 - 90",18,20
"1966 FIFA World Cup","0 - 15",14,15
"1966 FIFA World Cup","16 - 30",12,13
"1966 FIFA World Cup","31 - 45",16,17
"1966 FIFA World Cup","46 - 60",11,12
"1966 FIFA World Cup","61 - 75",14,15
"1966 FIFA World Cup","76 - 90",22,24
"1970 FIFA World Cup","0 - 15",12,12
"1970 FIFA World Cup","16 - 30",14,14
"1970 FIFA World Cup","31 - 45",8,8
"1970 FIFA World Cup","46 - 60",19,20
"1970 FIFA World Cup","61 - 75",19,20
"1970 FIFA World Cup","76 - 90",23,24
